address,tenant_name,leased_sf,rate_psf,lease_type,term_months,commencement_date,escalations,ti_allowance,free_rent,clear_height,building_type,raw_address_data,source_type,source_file
,"Hampton, LLC","  8,150 ",2.0, $ 0.87 ,38.0,11/1/2024,4.50%,"  8,150 ",2.0,4.50%,,"  8,150  Hampton, LLC Will Clayton 7450, building 4  $ 0.87  2.0",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
Blair Warehouse Park,,"  5,600 ",, $ 0.95 ,,11/25/2024,,"  5,600 ",,,Blair Warehouse Park,"  5,600  Blair Warehouse Park 2020.0 Blair Road 21191, Building 16  $ 0.95  Blair Road 21191, Building 16",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,"One Switch Rent A Car Houston, LLC","  10,720 ",1.0, $ 0.98 ,86.0,9/1/2024,,"  10,720 ",1.0,,,"  10,720  1999.0 One Switch Rent A Car Houston, LLC Greens Road 3200  $ 0.98  DLH Properties Greens 3200 - One Switch Rent A Car Houston 1.0",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,"Eagle DEF, Inc","  9,100 ",3.0, $ 1.15 ,63.0,9/1/2024,4.00%,"  9,100 ",3.0,4.00%,,"  9,100  Eagle DEF, Inc Theall 6344  $ 1.15  Theall 6344 3.0",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,ITG Communications,"  12,000 ",0.0, $ 1.10 ,60.03,8/1/2024,,"  12,000 ",0.0,,,"  12,000  2015.0 ITG Communications Rankin Circle East 13614  $ 1.10  Rankin Circle East 13614 0.0",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,MAIT USA Corp,"  6,000 ",, $ 0.96 ,36.0,7/1/2024,,"  6,000 ",,,,"  6,000  2010.0 MAIT USA Corp Old Humble Road 15715  $ 0.96  Old Humble Road 15715 - MAIT USA Corp",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,"Southwest Metal Products, LLC","  3,856 ",, $ 1.27 ,12.0,3/1/2024,,"  3,856 ",,,,"  3,856  1981.0 Southwest Metal Products, LLC Ormel Street 14826  $ 1.27  Ormel 14826 - Southwest Metal Products",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
North Inverness Business Park,Westwood Restoration,"  12,000 ",, $ 1.25 ,36.0,12/1/2023,,"  12,000 ",,,North Inverness Business Park,"  12,000  North Inverness Business Park 1996.0 Westwood Restoration FM 1960 Road West 1515  $ 1.25  FM 1960 Road West 1515",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,Prodigy Commercial HVAC Co.,"  5,000 ",1.0, $ 1.00 ,37.0,12/1/2023,,"  5,000 ",1.0,,,"  5,000  2009.0 Prodigy Commercial HVAC Co. FM 2920 5047  $ 1.00  FM 2920 5047 - Prodigy Commercial HVAC 1.0",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,"Dark Vision Technologies USA, Inc.","  6,000 ",0.0, $ 0.94 ,12.0,3/1/2024,,"  6,000 ",0.0,,,"  6,000  2014.0 Dark Vision Technologies USA, Inc. Farrell Road 3123  $ 0.94  ET Real Estate, LLC Farrell 3123 - Dark Vision Tech 0.0",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
Blue Ash Business Park,"Latino's Food Imports, LLC","  10,240 ",2.5, $ 0.92 ,62.48,8/15/2023,4.00%,"  10,240 ",2.5,4.00%,Blue Ash Business Park,"  10,240  Blue Ash Business Park 2024.0 Latino's Food Imports, LLC Blue Ash Drive 14603  $ 0.92  Blue Ash 14603 - Latino's Food Imports 2.5",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,MAIT USA Corp,"  6,000 ",0.0, $ 0.94 ,12.0,7/1/2023,,"  6,000 ",0.0,,,"  6,000  2010.0 MAIT USA Corp Old Humble Road 15715  $ 0.94  Old Humble 15715 - MAIT USA Corp 0.0",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,"Rent A Truck, LLC","  12,000 ",, $ 1.83 ,60.0,2/28/2023,,"  12,000 ",,,,"  12,000  2020.0 Rent A Truck, LLC Candleridge Park 1818  $ 1.83  Alterra Property Group Candleridge Park 1818",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
,,,,,,,,,,,,Metal Lease Comps,LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
SF,,,,,,,,,,,SF,SF Address Lease Date Year Built,LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
"8,150",,,,,,,,,,,"8,150","8,150 Will Clayton 7450, building 4 10/14/2024 2023",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
"5,600",,,,,,,,,,,"5,600","5,600 Blair Road 21191, Building 16 9/26/2024 2020",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
"10,720",,,,,,,,,,,"10,720","10,720 Greens Road 3200 9/5/2024 1999",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
"9,100",,,,,,,,,,,"9,100","9,100 Theall 6344 8/27/2024 2024",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
"12,000",,,,,,,,,,,"12,000","12,000 Rankin Circle East 13614 7/1/2024 2015",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
"6,000",,,,,,,,,,,"6,000","6,000 Old Humble Road 15715 4/18/2024 2010",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
"3,856",,,,,,,,,,,"3,856","3,856 Ormel Street 14826 2/16/2024 1981",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
"12,000",,,,,,,,,,,"12,000","12,000 FM 1960 Road West 1515 11/8/2023 1996",LEASE,Lease  Sale Comps - North - Metal  Tiltwall 10.18.24 (1).xlsx - Metal Leases (1).csv
