,,,,,,,,,,,,,,,,,,
,Property,Unit Name/Number,Property: Business Park,Property: Parent Account,Sub Market,Property: Year Built,Property: Loading Type,Tenant, Property: Total Building Area (SF) , Total Space (SF) , Lease Rate /SF ,Escalation Amount, OPEX ,Months,Free Rent (Months),Lease Signed Date,Commencement Date,Expiration Date
,"Will Clayton 7450, building 4",,,,,,Grade Level,"Hampton, LLC","  8,150 ","  8,150 ", $ 0.87 ,4.50%, $ 0.30 ,38,2,10/14/2024,11/1/2024,12/31/2027
,"Blair Road 21191, Building 16","Blair Road 21191, Building 16",Blair Warehouse Park,,North,2020,Grade Level,,"  5,600 ","  5,600 ", $ 0.95 ,, $ 0.32 ,,,9/26/2024,11/25/2024,
,Greens Road 3200,Greens 3200 - One Switch Rent A Car Houston,,DLH Properties,North,1999,Grade Level,"One Switch Rent A Car Houston, LLC","  10,720 ","  10,720 ", $ 0.98 ,, $ 0.28 ,86,1,9/5/2024,9/1/2024,10/31/2031
,Theall 6344,Theall 6344,,,,,Grade Level,"Eagle DEF, Inc","  9,100 ","  9,100 ", $ 1.15 ,4.00%, $ 0.26 ,63,3,8/27/2024,9/1/2024,11/30/2029
,Rankin Circle East 13614,Rankin Circle East 13614,,,North,2015,Grade Level,ITG Communications,"  12,000 ","  12,000 ", $ 1.10 ,, $ 0.32 ,60.03,0,7/1/2024,8/1/2024,8/1/2029
,Old Humble Road 15715,Old Humble Road 15715 - MAIT USA Corp,,,Northeast,2010,Grade Level,MAIT USA Corp,"  6,000 ","  6,000 ", $ 0.96 ,,,36,,4/18/2024,7/1/2024,6/30/2027
,Ormel Street 14826,Ormel 14826 - Southwest Metal Products,,,North,1981,Grade Level,"Southwest Metal Products, LLC","  3,856 ","  3,856 ", $ 1.27 ,,,12,,2/16/2024,3/1/2024,2/28/2025
,FM 1960 Road West 1515,FM 1960 Road West 1515,North Inverness Business Park,,North,1996,Grade Level,Westwood Restoration,"  12,000 ","  12,000 ", $ 1.25 ,,,36,,11/8/2023,12/1/2023,11/30/2026
,FM 2920 5047,FM 2920 5047 - Prodigy Commercial HVAC,,,Northwest,2009,Grade Level,Prodigy Commercial HVAC Co.,"  5,000 ","  5,000 ", $ 1.00 ,, $ 0.30 ,37,1,11/6/2023,12/1/2023,12/31/2026
,Farrell Road 3123,Farrell 3123 - Dark Vision Tech,,"ET Real Estate, LLC",North,2014,Grade Level,"Dark Vision Technologies USA, Inc.","  6,000 ","  6,000 ", $ 0.94 ,, $ 0.43 ,12,0,8/21/2023,3/1/2024,2/28/2025
,Blue Ash Drive 14603,Blue Ash 14603 - Latino's Food Imports,Blue Ash Business Park,,North,2024,Grade Level,"Latino's Food Imports, LLC","  10,240 ","  10,240 ", $ 0.92 ,4.00%, $ 0.34 ,62.48,2.5,7/27/2023,8/15/2023,10/29/2028
,Old Humble Road 15715,Old Humble 15715 - MAIT USA Corp,,,Northeast,2010,Grade Level,MAIT USA Corp,"  6,000 ","  6,000 ", $ 0.94 ,,,12,0,4/3/2023,7/1/2023,6/30/2024
,Candleridge Park 1818,Candleridge Park 1818,,Alterra Property Group,North,2020,Grade Level,"Rent A Truck, LLC","  12,000 ","  12,000 ", $ 1.83 ,, $ 0.30 ,60,,2/24/2023,2/28/2023,2/28/2028
,,,,,,,,,,,,,,,,,,
,Metal Lease Comps,,,,,,,,,,,,,,,,,
,Address,Year Built,SF,Lease Date, $ / SF NNN ,,,,,,,,,,,,,
,"Will Clayton 7450, building 4",2023,"8,150",10/14/2024,$10.44,,,,,,,,,,,,,
,"Blair Road 21191, Building 16",2020,"5,600",9/26/2024,$11.40,,,,,,,,,,,,,
,Greens Road 3200,1999,"10,720",9/5/2024,$11.76,,,,,,,,,,,,,
,Theall 6344,2024,"9,100",8/27/2024,$13.80,,,,,,,,,,,,,
,Rankin Circle East 13614,2015,"12,000",7/1/2024,$13.20,,,,,,,,,,,,,
,Old Humble Road 15715,2010,"6,000",4/18/2024,$11.52,,,,,,,,,,,,,
,Ormel Street 14826,1981,"3,856",2/16/2024,$15.24,,,,,,,,,,,,,
,FM 1960 Road West 1515,1996,"12,000",11/8/2023,$15.00,,,,,,,,,,,,,
,FM 2920 5047,2009,"5,000",11/6/2023,$12.00,,,,,,,,,,,,,
,Farrell Road 3123,2014,"6,000",8/21/2023,$11.28,,,,,,,,,,,,,
,Blue Ash Drive 14603,2024,"10,240",7/27/2023,$11.04,,,,,,,,,,,,,
,Old Humble Road 15715,2010,"6,000",4/3/2023,$11.28,,,,,,,,,,,,,
,Candleridge Park 1818,2020,"12,000",2/24/2023,$22.00,,,,,,,,,,,,,
,Subject Property,2025,"4,950 - 7,700",,$12.60 - $13.80,,,,,,,,,,,,,
