,Other Sale Comps,,,,,,,,,,,
,Id,CAP Rate,Seller Name,Buyer Name,Street Address,City,Submarket,Land (ACS),SF,Sales Price (Total),Closing Date,Notes
,1,Unknown,TA/Holt,Crystal Technology,1600 S Airport Drive,Mckinney,Mckinney,8.8 Acres,"132,710","21,897,150",12/24/2024,"Crystal Technology is a tenant in the building, Pods is the only other tenant. 
They bought it off market "
,2,N/A,CEC,J and E Companies,3595 Roy Orr Blvd,Grand Prairie,Grand Prairie,.42 Acres,"21,000",4.3 Milllion,Feb-25,neighbor bought and gave them a free leaseback until June
,3,N/A,Luis Padilla,Houk Air Conditioning,1250 W Oakdale Road,Grand Prairie,GSW,4.95,"70,050","$15,481,050.00 ",7/10/2024,
,4,8%," ABBOTT-IPCO, Inc.",Bleecker Partners ,10221 Corkwood Rd,Dallas,East Dallas,2.37 AC,"38,247","5,545,815.00",Feb. 25',clsoed at $145/sf - slb 10 yr 3.5 bumps - great deal 
,5,7,Steve Robins,Moxiebridge,"3717 Commerce Place, Bedford 76021",Bedford,Midcities ,7.5,75000,8625000,1-Apr-25,
,6,0,MONDOVI REAL ESTATE LP,JOHNSON/MCKIBBEN ARCHITECTS INC,965 Slocum St,Dallas,Design District,0.31,7400,"27,432,200",1-Nov-24,Mercer
,7,N/A,"Cline Family Investments, LLC",Russell Ferraro,2977 Congressman Ln,Dallas,Harry Hines,0.43,14130,2247000,3/3/2025,
,8,0 - user ,Box Investments,Cline Family Investments (Superior Floors),2701 State Highway 121,Lewisville ,Northwest Dallas,6.1,"51,000","$12,622,500 ",2/25/2025,Spec lights and spec office.   Buyer installing another $13 worth of build out. 
,9,none,Esparzas Investment Inc,Innospace Llc,10865 Sanden Dr,Dallas,Garland,1.5 AC,"23,860","3,913,040",Jan. 25',User in Richardson - direct deal 
,10,0,Mondovi RE,965 Slocum-Renaissance Collection,965 Slocum St,Dallas,Design District,0.31,7400,"2,820,000",1-Jan-25,
,11,6.15,Stream Development,Libitzky,4100 Passport Ave,Dallas,DFW Airport,4,125443,"23,425,000",Aug-24,
,12,5.15 In Place,LPC/Greystar,Cohen Asset Management,"I-30 MacArthur Business 
Center ",Grand Prarie,GSW,TBD,"208,743","39,240,000",Aug-24,
,13,4.12 In Place,Barings,Transwestern,Cooper I-20,Arlington,GSW,30+,"401,115","51,250,000",Jun-24,
,14,5.1,Alliance Industrial / Carlyle,DWS, Freeport Commerce Center,Irving ,DFW Airport,TBD,"328,175","75,480,000",Jun-24,
,15,N/A,Gillette,Pharmaceutical Manufacturing ,260 W Exchange Drive,Allen,Allen,3.6 Acres,"50,864","12,460,000",4/15/2025,"Under contract, set to close in 3 weeks"
,16,N/A,Premier Drive LLC,Pexbo LLC,4050 Premier Drive,Plano,Plano,4.57,45000,"8,000,000",Q2 2024,
,17,N/A,Gillet Commercial,Owner User - PHARMA,260 W Exchange,Allen,Plano / Allen,3.6,50864,"12,460,000",Under Contract,
,18,N/A - Vacant,TSG Alpha Investments,Stonelake,11232 Leo Lane,Dallas,Hines,0.97,"22,925","3,550,000",1/27/2025,Vacant at Closing.  Fenced truck court.  3 docks and a ramp.  Side yard (Small)
,19,N/A - User,JJR Industrial,Stonelake,3500-3550 Garden Brook,Farmers Branch,Metro,1.32,"30,088","$4,750,000 ",3/18/2025,Below market Lease for another 20 months.  Fenced truck court.  Had a little environmental work to get through
,20,n/a,PacVentures,LanCarte Commercial,"4116 Cockrell Ave & 2920 Suffolk 
Dr",Fort Worth,Fort Worth,TBD,"27,750","2,950,000",Apr-24,
,21,3.40 - stabilizes to an 8,Cheryl & James Williams Llc,Triton,3701 Dalworth St,Arlington,GSW,5,"56,905","8,300,000",Apr-24,
,22,0,Velocis,Stonelake," 288/380 Logistics Park
 3431 Mingo Rd",Denton,Denton,TBD,"802,825","80,300,000",Apr-24,
,23,N/A,CIM Group,HEB,"6900 AWG Way - Building 2
 7550 Oak Grove",Fort Worth,Fort Worth,TBD,"139,496","24,000,000",Mar-24,
,24,7.06,Invesco,Vertical Cold Storage, 6501 Highpoint Pkw,Burleson,Johnson County,22.72,"403,240","71,000,000",Feb-24,
,25,4.25,TBD,MoxieBridge," 3717 Commerce Pl & 2001 
Reliance Pkwy",Bedford,Airport,TBD,"114,800","13,200,000",Feb-24,
,26,N/A,VanTrust,CTDI,300 W Risinger Rd,Fort Worth,Fort Worth,32.43,"607,074","62,500,000",Feb-24,
,27,4.1,Sealed Air Corporation,Stonelake, 4400 Diplomacy Rd.,Fort Worth,Fort Worth,6.36,"119,995","13,200,000",Feb-24,
,28,5.78,Lovett Industrial,BGO, 2700 Keller Haslet Rd.,Fort Worth,Fort worth,TBD,"646,250",104,Apr-24," Commerce 35W - Building 2 is a Class A 646,250 SF building 
located in Alliance, Texas. The asset offers quick access to 
Alliance Airport and BNSF intermodal terminal. The property 
specs include 134 dock doors, 3 drive in doors, cross dock 
configuration, 172 car parks, 130' truck court depth, 2% office 
finish (12,925 SF), and 36' clear height. The asset is 100% 
leased to Olam Cotton, a global distributor of cotton, with 5.6 
years of WALT and 3.5% annual rent increases."
,29,6.4,Mercantile Partners,Prologis,"3901 N Sylvania Ave & 2500 
Sylvania Cross Dr",Fort Worth,fort Worth,TBD,"718,705","68,636,328",May-24," Mercantile I-35 consists of two Class A buildings totaling
 718,705SF.Building1isa564,387SFcrossdockfacility,and
 Building 2 is 154,318 SF with rear load configuration.
 Combinedthereare343carparks,164trailerparks,135'-185'
 truckcourtdepths,3officepods totaling6,185SF,and32'-40'
 clearheights.Building1isvacantandBuilding2is22%leased
 toTeslawith2%annual bumps. Teslahasaground leaseon
 thewholepropertywithan80year termwithtwofixed10year
 renewal options (100 years total).
 *Y2 RoC"
,30,8.14,Hartman REIT,Avistone,1901 N Glenville ,Richardson,Richardson,TBD,"73,099","6,360,048",May-24,"Central Park Business Center consists of two class B light
 industrial flex buildings located within the Northeast Dallas
 Submarket and sits on4.8acresof land. Theproperty specs
 include12drive-indoors,254carparksandsharedtruckcourt
 50'-75' indepth. Theproperty features ahighoffice finishof
 81.3% (59,298 SF) and has a remaining WALT of 3.26 years."
,31,5.35,Stonemount,LBA," DFW Point35 - Building 1
 12901 Harmon Rd",Fort Worth,Fort Worth,28,"267,280","30,400,000",May-24,"DFWPoint35 Building 1 is a class Abrand new rear load
 warehouse located in Alliance, Texas. Property specifications
 include,32' clearheight,2.1%officefinish,185' truckcourts,75
 trailer and197parking spaces and75 trailer and 197 car
 parkingspaces.Theasset is100%leasedtoGITITirewith4.75
 years of term remaining, 4% annual increases and rents
 estimated to be 15% below market."
,32,N/A,J&L Investment,Post & Beam Ptrs Premiere Llc,9130 Premier Row,Arlington,Dallas,0.55,"7,550","$1,400,000 ",3/4/2025,$185/SF
,33,N/A,JJR,Stonelake,3500-3550 Garden Brook Dr,"Farmers Branch, TX 75234",Metro,1.32 acre,"30,046","$4,747,268.00 ($158/SF)",Mar-25,
,34,N/A,TSG Investments,Stonelake,11232 Leo Ln,"Dallas, TX 75229",Hines,0.91 AC,"22,785 SF","$3,645,600 ($160/SF)",Jan-25,
,35,6.75%,Vaughn Dallas Properties,Cantex,9160 Sterling St,"Irving, TX 75063",W Airport,2.38 AC,34781,"$6,125,000 ($176.10/SF)",Jan-25,Off Market Deal
,36,4.60%,Brookfield,JP Morgan,910 Exchange Cir,"Coppell, TX 75019",E DFW Air,N/A,"315,553 SF","$70,052,766.00 ($222/SF)",N/A,
,37,5.07%,Alliance Industrial Company,DWS,9000 Freeport Pkwy,"Irving, TX 75063",E DFW Air,19.96,"328,175 SF","$75,480,250.00 ($230/SF)",N/A,
,38,N/A,Marc Myers,Welbit,1010 W Sandy Lake Rd,"Coppell, TX 75019",E DFW Air,9.028 AC,"130,030 SF","$29,906,900 ($230/SF)",N/A,user sale
,39,NA,Wortley Elizabeth Family Trust,ISSA Group ,"11009 Shady Trl
",Dallas,East Hines North,0.53 AC,"10,800","$1,128,000 ",9/1/2024,
,40,NA,RW Ramset Realty Corp,4C2 Electrical,"6401 Commerce Drive 
",Irving ,E DFW Air/Las Colinas ,5.33,"62,262","$5,700,000 ",NA,
,41,N/A,Tim Tieu,Mark Andrews,301 E Walnut Street,Garland,Garland,0.62,"8,400 SF","1,390,000",4/4/2025,Vacant upon sale
,42,N/A,Mont Addison,Cirks Family Trust,1201 Placid Ave,Plano,Plano,0.83,"6,250","2,550,000",2/27/2025,Seller vacated upon Sale
,43,None, Qorvo Texas LLC,Unknown - will get ,4345 Innovation Dr ,Farmers Branch ,Famrers Branch,10.38,"283,495","$48,000,000.00 ",4/1/2025,28 MW facility - $170/ SF crazy price 
,44,NA,Store Master,Matador,"1916 Old Denton Rd
",Carrollton,N Stemmons/Valwood,2.33,"20,000",$168.00 ,9/1/2024,
,45,-,Big D Travel Center,Edged Dallas,300 N Walton Walker Blvd,Irving,Irving/Union Bower,15.8,15k,"17,000,000",4/1/2025,"Large data center existing next door, they bought this land between them and the substation. "
,46,N/A,M&D Interactive Capital LLC,Ironhaus Doors,11177 Ables Ln,Dallas,Harry Hines,0.37,"11,853","$2,000,000.00 ",3/28/2025,
,47,NA,2000 Group Realty & K30 LLC,Cantex,1313 W College & 1401 W College,Carrollton,Valwood,7.6,"10,150","$4,000,000.00 ",Dec-24,4 acres usable - IOS. 10 year lease in place.
,48,N/A,Vox Property,Undisclosed Printing Group,13702 Gamma Road ,Dallas,Metro,0.55,8400,"1,696,800 ($202 SF)",3/1/2025,
,49,N/A,Amundsen Commercial Kitchens,Daniels Health,3221 E Randol Mill Road,Arlington,Lower GSW,1.5 Acres,"28,000",3.8 Million ($136 SF),11/24/2024,Restaurant Supply store sold to Medical waste company 
,50,Vacant - 0,Jeff McReynolds,Longpoint,1305 W Crosby,Carrollton,Valwood,4,"26,240","$3,542,400 ($135/SF)",1/28/2025,Sold vacant.  All air.  Heavy power
,51,0,Newport Investments,Ameritech (Owner User),501 S Wisteria St,Mansfield,Arlington Mansfield,1 AC,"16,123","2,400,000",1/7/2025,
,52,7.45,Jim Tally,Roper,1805 Owen Ct.,Mansfield,Arlington/Mansfield,1.724,"11,944","$3,100,000 ",1/2/2025,
,53,4.5,Unicorn Imp,DK Operations,1005 N Avenue,Plano,Plano,3.02,"24,559",$3.8 Million,Mar-25,"DK plans to build a building on the vacant land, and is continuing the lease for Unicorn, 5 years left fixed rate at $7 "
,54,4 cap,Unicorn Manufacturing Corp,"DK Operations, Inc",1005 N Avenue,Plano,Plano,3.02,"24,559 SF",$3.8M ($154 SF),Mar-25,"DK Painting, user in Richardson boght off Lou.
There is a shitty lease in place for the next 3 years. They plan on building on the land for their operations and continue the lease."
,55,4.01,Hopewell Development & GTIS,Stonelake Capital Partners,3440 State Highway 114,Fort Worth,NE Tarrant / Alliance,N/A,"362,185","54,500,000",Jan-25,
,56,3.6,Creation & JPM,High Street Logistics Properties,3101 NW Centre Dr,Fort Worth,North Fort Worth,N/A,"531,601","77,625,000",Jul-24,
,57,N/A,MBK Industrial,2 One Pouches,3155 N Highway 161,Grand Prairie,Upper GSW,5.79,"105,072 SF","$22,065,120 ($210 SF)",22-May-25,"New Build User deal, Nicotine Pouch Company, they bought both 56K SF. They were asking $227/SF "
,58,4.51,LBA Realty,WBT Capital Advisors,"15716,16000 Wolff Crossing Northlake, TX 76247",Northlake,NE Tarrant / Alliance,NA,"1,106,064","$121,150,000 ",Jan-25,
,59,N/A,Exposed Design Group ,G & I VII 12750 PERIMETER LP,12600 International PKY,Dallas,Garland,2.79 AC,"24,600","4,200,000.00",5/29/2025,
,60,N/A,SL Nabors Roofing LLC,23 Investments LLC,3119 Interstate 30 ,Mesquite,Mesquite ,1.04,"12,950","1,877,750",5/26/2025,
,61,0,David Gatz,Dr. Zach Kingsbury (Dentist),746 Colonel,Garland,Garland,0.5,"4,700","566,800",6/4/2025,
,62,User Deal,Cantex,Gaia Flooring,3101 E Randol Mill Road,Arlington,Lower GSW,2.29,"43,424",$5.3M ($122/SF),May-24,"Cantex bought it 2022, Sold it to flooring company. They are leasing out 15K-20K SF of the space, GAia still has no CO working on fire sprinklers. Its been a mess with the city"
,63,6.5,Mercantile Partners,Prologis,2500 Sylvania Cross Dr. & 3901 N. Sylvania Ave,Forth Worth,North Fort Worth,NA,"718,705","68,550,000",Sep-24,6.5 in place CAP
,64,5.6,Creation & JPM,High Street Logistics,3101 NW Centre Dr,Fort Worth,North Fort Worth,NA,"531,601","77,625,000",Jul-24,
,65,0,KS2 Partners,Trade Show Savy,1020 Mustang Drive,Grapevine,DFW Airport,0.83,"6,505","2,200,000",5/13/2025,
,66,N/A,Box Industrial ,"Cinestry 121, LLC",2701 S State Highway 121,Lewisville,NW Dallas / Lewisville,6.1,"50,125","12,380,875",Feb-25,Buyer is superior floors - they are putting another $13 SF into it 
,67,n/a,Erik Drentlaw,Eric Flores,1140-1144 W Main Street,Arlington,Arlington,0.71,"7,792","$900,000 ",6/23/2025,
,68,none, Five-two Farms Llc,ELTZ Holding LLC,3030 E Meadows ,Mesuqite ,Mesquite ,1 AC,"10,500 SF","$147/SF - $1,550,000.00",Jan-25,
,69,N/A,Vox Property,Undisclosed,13702 Gamma Rd.,Dallas,Metro,0.55,"8,400","$1,696,800 ",Mar-25,
,70,5.46,Founders,Family Office (Confidential),2925 E Plano Pkwy,Plano,Plano,NA,"107,155","24,752,805",Dec-24,
,71,5.50%,Birtcher Anderson & Davis,Basis,East Fort Worth / Brookhollow / Hines / Valwood / Metro Addison,East Fort Worth / Brookhollow / Hines / Valwood / Metro Addison,East Fort Worth / Brookhollow / Hines / Valwood / Metro Addison,NA,"439,916","$52,000,000 ",Sep-24,
,72,6.25,Can Tex,Bendetti,1114 W Harris Road,Arlington,Arlington,N/A,"114,390 SF ","$14,900,000 ($130/SF)",24-Nov,"Two property, shallow-bay Class B industrial portfolio totaling 114,390 SF. 100% leased to 7 tenants with a 2.03 years of WALT."
,73,N/A,Atlas Free (Private Owner),Unknown,3320 Dalworth Street,Arlington,Lower GSW,0.84,"18,156 SF",$2.05M ($2.2M asking),7.10.25,On the market for 7 months
,74,none,Lincoln Property Company,DFWTXGC (General Contractor),"5000 Catron Dr, Dallas, TX 75227",Mesquite,Mesquite,7.12,"12,028 SF","$4,750,000 ",1/2/2025,$395/SF – to the building or $15.31/SF to the land. This is personally the highest comp I have seen. the building was also on the market for a longgggg time 
,75,~5.85% Yr 2 YoC,GTS/Hopewell,Stonelake,Champions Circle Business Park - 3450 Highway 114,Fort Worth,Fort Worth,21.02,"361,040","$54,200,000.00 / $150/SF",Jan-25,Three building Class A portfolio with 4.75 years of WALT and in-place rents 11% below market. The project fronts Hwy 114 and consists of 3 rear load multi-tenant buildings leased to 7 tenants.
,76,NA,Shoal Creek Capital Partners,2One Pouches,8733 N Stemmon Fwy,Dallas,South Stemmons,NA,"78,120","$17,600,000 ",24-Dec,Two building Class A development comprised of two cross dock facilities. Both sold direct to a user who will occupy both buildings. The development has direct access and visibility from I-35E.
,77,8.28%,ATCAP Partners,DRA Advisors,1001 Klein Rd,Plano,Northeast Dallas,8.83,"114,195","17,100,000",24-Sep,"Part of a 9 property portfolio, 1001 Klein Rd is a standalone Class B rear load building that is 100% leased to multiple tenants. In-place rents are 18.7% below market with 3.2 years of WALT."
,78,N/A,Gregory Chaney,Equity Advisors Group,1125 N Walton Walker Blvd (Loop 12),Irving,Irving/Loop 12 Corridor,2.06,"18,552","3,900,000",Apr-25,"Paved IOS site, nice building. Asking $35,000/month NNN"
,79,5.29,Crow Holdings and Clarion,Home Goods,7500 Oak Grove,Fort Worth,South Fort Worth,NA,"1,008,195","116,000,000",Jun-24,
,80,6.5,Mercantile Partners,Prologis,"2500 Sylvania Cross Dr. & 3901 N. 
Sylvania Ave",North Fort Worth,NE Tarrant / Alliance,NA,"718,705","68,550,000",Sep-24,
,81,N/A (User Deal),CanTex,Philadelphia Hardware Group,840 N Great Southwest Pky,Arlington,Lower GSW,4 acres,"88,821","$9,475,000 ($106/SF)","July,8,2025","Was on the market for lease at $7.95, asking $9.8M"
,82,N/A User Deal,JPI Companies (Development Group),Flex N Gate   https://flex-n-gate.com/,2125 Bardin Road,Grand Prairie ,GSW,4.2 Acres,"51,760 SF","$11,387,200 ($220/SF) Asking $225",May 30 2025,"User Sale, Building was in shell condition"
,83,N/A,N/A,N/A,1655 Waters Ridge Dr,Lewsiville,Lewisville,20.18,"367,744","47,050,000",24-Sep,
,84,N/A,N/A,N/A,2051 Mckenzie Dr ,Carrollton,Valwood,10.16,"256,038","34,565,130",24-Apr,
,85,N/A,N/A,N/A,8225 Bent Branch Dr,Irving,DFW Airport,22.88,"251,160","39,000,000",25-Apr,
,86,N/A,N/A,N/A,1900 SE Loop 820 ,Fort Worth ,S Fort Worth,29.78,"225,000","26,500,000",Dec' 24,
,87,N/A,N/A,N/A,1525 W Frankfort Rd,Carrollton,Valwood,11.39,"187,424","25,900,000",23-Jun,"26' Clear Height, Built in 2003"
,88,N/A,N/A,N/A,1235 W Trinity Mills Rd,Carrollton,Valwood,12.4,"150,268","26,000,000",May' 24,"24' Clear Height, Built in 1979"
,89,N/A,Oakdale Real Estate,Houk Air Conditioning,1250 W Oakdale Road,Grand Praire ,Grand Praire ,4.95,"70,050","$15,481,050 ",N/A,
,90,N/A,Gillett Commercial,Texas Pharmacy,260 W Exchange,Allen,Allen/Mckinny,3.6,"50,864","12,460,000",N/A,
